occupation,hierarchy_level,mechanism_of_death,deaths,population
Buyers and purchasing agents,2,Motor Vehicle Traffic,0,432
Buyers and purchasing agents,2,Fire/Flame,0,432
Buyers and purchasing agents,2,Fall,0,432
Buyers and purchasing agents,2,Poisoning,0,432
Buyers and purchasing agents,2,Struck by or against,0,432
"Claims adjusters, appraisers, examiners, and investigators",2,Total,5,346
"Claims adjusters, appraisers, examiners, and investigators",2,Cut/Pierce,0,346
"Claims adjusters, appraisers, examiners, and investigators",2,Motor Vehicle Traffic,3,346
"Claims adjusters, appraisers, examiners, and investigators",2,Fire/Flame,0,346
"Claims adjusters, appraisers, examiners, and investigators",2,Fall,0,346
"Claims adjusters, appraisers, examiners, and investigators",2,Poisoning,0,346
"Claims adjusters, appraisers, examiners, and investigators",2,Struck by or against,0,346
"Claims adjusters, examiners, and investigators",3,Total,5,329
"Claims adjusters, examiners, and investigators",3,Cut/Pierce,0,329
"Claims adjusters, examiners, and investigators",3,Motor Vehicle Traffic,3,329
"Claims adjusters, examiners, and investigators",3,Fire/Flame,0,329
"Claims adjusters, examiners, and investigators",3,Fall,0,329
"Claims adjusters, examiners, and investigators",3,Poisoning,0,329
"Claims adjusters, examiners, and investigators",3,Struck by or against,0,329
Compliance officers,2,Total,1,320
Compliance officers,3,Total,1,320
Compliance officers,2,Cut/Pierce,1,320
Compliance officers,3,Cut/Pierce,1,320
Compliance officers,2,Motor Vehicle Traffic,0,320
Compliance officers,3,Motor Vehicle Traffic,0,320
Compliance officers,2,Fire/Flame,0,320
Compliance officers,3,Fire/Flame,0,320
Compliance officers,2,Fall,0,320
Compliance officers,3,Fall,0,320
Compliance officers,2,Poisoning,0,320
Compliance officers,3,Poisoning,0,320
Compliance officers,2,Struck by or against,0,320
Compliance officers,3,Struck by or against,0,320
Human resources workers,2,Total,1,707
Human resources workers,2,Cut/Pierce,0,707
Human resources workers,2,Motor Vehicle Traffic,1,707
Human resources workers,2,Fire/Flame,0,707
Human resources workers,2,Fall,0,707
Human resources workers,2,Poisoning,0,707
Human resources workers,2,Struck by or against,0,707
Labor relations specialists,3,Total,1,79
Labor relations specialists,3,Cut/Pierce,0,79
Labor relations specialists,3,Motor Vehicle Traffic,1,79
Labor relations specialists,3,Fire/Flame,0,79
Labor relations specialists,3,Fall,0,79
Labor relations specialists,3,Poisoning,0,79
Labor relations specialists,3,Struck by or against,0,79
"Meeting, convention, and event planners",2,Total,1,134
"Meeting, convention, and event planners",3,Total,1,134
"Meeting, convention, and event planners",2,Cut/Pierce,0,134
"Meeting, convention, and event planners",3,Cut/Pierce,0,134
"Meeting, convention, and event planners",2,Motor Vehicle Traffic,0,134
"Meeting, convention, and event planners",3,Motor Vehicle Traffic,0,134
"Meeting, convention, and event planners",2,Fire/Flame,0,134
"Meeting, convention, and event planners",3,Fire/Flame,0,134
"Meeting, convention, and event planners",2,Fall,0,134
"Meeting, convention, and event planners",3,Fall,0,134
"Meeting, convention, and event planners",2,Poisoning,0,134
"Meeting, convention, and event planners",3,Poisoning,0,134
"Meeting, convention, and event planners",2,Struck by or against,0,134
"Meeting, convention, and event planners",3,Struck by or against,0,134
Market research analysts and marketing specialists,2,Total,3,682
Market research analysts and marketing specialists,3,Total,3,682
Market research analysts and marketing specialists,2,Cut/Pierce,0,682
Market research analysts and marketing specialists,3,Cut/Pierce,0,682
Market research analysts and marketing specialists,2,Motor Vehicle Traffic,3,682
Market research analysts and marketing specialists,3,Motor Vehicle Traffic,3,682
Market research analysts and marketing specialists,2,Fire/Flame,0,682
Market research analysts and marketing specialists,3,Fire/Flame,0,682
Market research analysts and marketing specialists,2,Fall,0,682
Market research analysts and marketing specialists,3,Fall,0,682
Market research analysts and marketing specialists,2,Poisoning,0,682
Market research analysts and marketing specialists,3,Poisoning,0,682
Market research analysts and marketing specialists,2,Struck by or against,0,682
Market research analysts and marketing specialists,3,Struck by or against,0,682
Financial specialists,1,Total,14,"3,055"
Financial specialists,1,Cut/Pierce,6,"3,055"
Financial specialists,1,Motor Vehicle Traffic,5,"3,055"
Financial specialists,1,Fire/Flame,0,"3,055"
Financial specialists,1,Fall,0,"3,055"
Financial specialists,1,Poisoning,0,"3,055"
Financial specialists,1,Struck by or against,0,"3,055"
Accountants and auditors,2,Total,6,"1,424"
Accountants and auditors,3,Total,6,"1,424"
Accountants and auditors,2,Cut/Pierce,1,"1,424"
Accountants and auditors,3,Cut/Pierce,1,"1,424"
Accountants and auditors,2,Motor Vehicle Traffic,3,"1,424"
Accountants and auditors,3,Motor Vehicle Traffic,3,"1,424"
Accountants and auditors,2,Fire/Flame,0,"1,424"
Accountants and auditors,3,Fire/Flame,0,"1,424"
Accountants and auditors,2,Fall,0,"1,424"
Accountants and auditors,3,Fall,0,"1,424"
Accountants and auditors,2,Poisoning,0,"1,424"
Accountants and auditors,3,Poisoning,0,"1,424"
Accountants and auditors,2,Struck by or against,0,"1,424"
Accountants and auditors,3,Struck by or against,0,"1,424"
Appraisers and assessors of real estate,2,Total,1,80
Appraisers and assessors of real estate,3,Total,1,80
Appraisers and assessors of real estate,2,Cut/Pierce,1,80
Appraisers and assessors of real estate,3,Cut/Pierce,1,80
Appraisers and assessors of real estate,2,Motor Vehicle Traffic,0,80
Appraisers and assessors of real estate,3,Motor Vehicle Traffic,0,80
Appraisers and assessors of real estate,2,Fire/Flame,0,80
Appraisers and assessors of real estate,3,Fire/Flame,0,80
Appraisers and assessors of real estate,2,Fall,0,80
Appraisers and assessors of real estate,3,Fall,0,80
Appraisers and assessors of real estate,2,Poisoning,0,80
Appraisers and assessors of real estate,3,Poisoning,0,80
Appraisers and assessors of real estate,2,Struck by or against,0,80
Appraisers and assessors of real estate,3,Struck by or against,0,80
Financial analysts and advisors,2,Total,5,712
Financial analysts and advisors,2,Cut/Pierce,0,712
Financial analysts and advisors,2,Motor Vehicle Traffic,0,712
Financial analysts and advisors,2,Fire/Flame,0,712
Financial analysts and advisors,2,Fall,0,712
Financial analysts and advisors,2,Poisoning,0,712
Financial analysts and advisors,2,Struck by or against,0,712
Financial analysts,3,Total,3,330
Financial analysts,3,Cut/Pierce,0,330
Financial analysts,3,Motor Vehicle Traffic,0,330
Financial analysts,3,Fire/Flame,0,330
Financial analysts,3,Fall,0,330
Financial analysts,3,Poisoning,0,330
Financial analysts,3,Struck by or against,0,330
Personal financial advisors,3,Total,0,272
Personal financial advisors,3,Cut/Pierce,1,272
Personal financial advisors,3,Motor Vehicle Traffic,0,272
Personal financial advisors,3,Fire/Flame,0,272
Personal financial advisors,3,Fall,0,272
Personal financial advisors,3,Poisoning,0,272
Personal financial advisors,3,Struck by or against,0,272
Computer and mathematical occupations,0,Total,12,"4,674"
Computer and mathematical occupations,0,Cut/Pierce,6,"4,674"
Computer and mathematical occupations,0,Motor Vehicle Traffic,4,"4,674"
Computer and mathematical occupations,0,Fire/Flame,0,"4,674"
Computer and mathematical occupations,0,Fall,0,"4,674"
Computer and mathematical occupations,0,Poisoning,0,"4,674"
Computer and mathematical occupations,0,Struck by or against,0,"4,674"
Computer occupations,1,Total,12,"4,490"
Computer occupations,1,Cut/Pierce,6,"4,490"
Computer occupations,1,Motor Vehicle Traffic,4,"4,490"
Computer occupations,1,Fire/Flame,0,"4,490"
Computer occupations,1,Fall,0,"4,490"
Computer occupations,1,Poisoning,0,"4,490"
Computer occupations,1,Struck by or against,0,"4,490"
Computer and information analysts,2,Total,5,746
Computer and information analysts,2,Cut/Pierce,0,746
Computer and information analysts,2,Motor Vehicle Traffic,3,746
Computer and information analysts,2,Fire/Flame,0,746
Computer and information analysts,2,Fall,0,746
Computer and information analysts,2,Poisoning,0,746
Computer and information analysts,2,Struck by or against,0,746
Computer systems analysts,3,Total,3,634
Computer systems analysts,3,Cut/Pierce,0,634
Computer systems analysts,3,Motor Vehicle Traffic,0,634
Computer systems analysts,3,Fire/Flame,0,634
Computer systems analysts,3,Fall,0,634
Computer systems analysts,3,Poisoning,0,634
Computer systems analysts,3,Struck by or against,0,634
Information security analysts,3,Total,2,112
Information security analysts,3,Cut/Pierce,0,112
Information security analysts,3,Motor Vehicle Traffic,0,112
Information security analysts,3,Fire/Flame,0,112
Information security analysts,3,Fall,0,112
Information security analysts,3,Poisoning,0,112
Information security analysts,3,Struck by or against,0,112
Software developers and programmers,2,Total,4,"1,776"
Software developers and programmers,2,Cut/Pierce,3,"1,776"
Software developers and programmers,2,Motor Vehicle Traffic,0,"1,776"
Software developers and programmers,2,Fire/Flame,0,"1,776"
Software developers and programmers,2,Fall,0,"1,776"
Software developers and programmers,2,Poisoning,0,"1,776"
Software developers and programmers,2,Struck by or against,0,"1,776"
"Software developers, systems software",3,Total,3,421
"Software developers, systems software",3,Cut/Pierce,0,421
"Software developers, systems software",3,Motor Vehicle Traffic,0,421
"Software developers, systems software",3,Fire/Flame,0,421
"Software developers, systems software",3,Fall,0,421
"Software developers, systems software",3,Poisoning,0,421
"Software developers, systems software",3,Struck by or against,0,421
Architecture and engineering occupations,0,Total,30,"2,699"
Architecture and engineering occupations,0,Cut/Pierce,0,"2,699"
Architecture and engineering occupations,0,Motor Vehicle Traffic,21,"2,699"
Architecture and engineering occupations,0,Fire/Flame,1,"2,699"
Architecture and engineering occupations,0,Fall,4,"2,699"
Architecture and engineering occupations,0,Poisoning,0,"2,699"
Architecture and engineering occupations,0,Struck by or against,0,"2,699"
"Architects, surveyors, and cartographers",1,Total,6,218
"Architects, surveyors, and cartographers",1,Cut/Pierce,0,218
"Architects, surveyors, and cartographers",1,Motor Vehicle Traffic,6,218
"Architects, surveyors, and cartographers",1,Fire/Flame,0,218
"Architects, surveyors, and cartographers",1,Fall,0,218
"Architects, surveyors, and cartographers",1,Poisoning,0,218
"Architects, surveyors, and cartographers",1,Struck by or against,0,218
"Surveyors, cartographers, and photogrammetrists",2,Total,6,61
"Surveyors, cartographers, and photogrammetrists",2,Cut/Pierce,0,61
"Surveyors, cartographers, and photogrammetrists",2,Motor Vehicle Traffic,6,61
"Surveyors, cartographers, and photogrammetrists",2,Fire/Flame,0,61
"Surveyors, cartographers, and photogrammetrists",2,Fall,0,61
"Surveyors, cartographers, and photogrammetrists",2,Poisoning,0,61
"Surveyors, cartographers, and photogrammetrists",2,Struck by or against,0,61
Surveyors,3,Total,6,49
Surveyors,3,Cut/Pierce,0,49
Surveyors,3,Motor Vehicle Traffic,6,49
Surveyors,3,Fire/Flame,0,49
Surveyors,3,Fall,0,49
Surveyors,3,Poisoning,0,49
Surveyors,3,Struck by or against,0,49
