occupation,hierarchy_level,mechanism_of_death,deaths,population
"Shipping, receiving, and traffic clerks",2,Cut/Pierce,1,663
"Shipping, receiving, and traffic clerks",3,Cut/Pierce,1,663
"Shipping, receiving, and traffic clerks",2,Motor Vehicle Traffic,0,663
"Shipping, receiving, and traffic clerks",3,Motor Vehicle Traffic,0,663
"Shipping, receiving, and traffic clerks",2,Fire/Flame,0,663
"Shipping, receiving, and traffic clerks",3,Fire/Flame,0,663
"Shipping, receiving, and traffic clerks",2,Fall,0,663
"Shipping, receiving, and traffic clerks",3,Fall,0,663
"Shipping, receiving, and traffic clerks",2,Poisoning,0,663
"Shipping, receiving, and traffic clerks",3,Poisoning,0,663
"Shipping, receiving, and traffic clerks",2,Struck by or against,0,663
"Shipping, receiving, and traffic clerks",3,Struck by or against,0,663
Stock clerks and order fillers,2,Total,15,"2,057"
Stock clerks and order fillers,3,Total,15,"2,057"
Stock clerks and order fillers,2,Cut/Pierce,6,"2,057"
Stock clerks and order fillers,3,Cut/Pierce,6,"2,057"
Stock clerks and order fillers,2,Motor Vehicle Traffic,0,"2,057"
Stock clerks and order fillers,3,Motor Vehicle Traffic,0,"2,057"
Stock clerks and order fillers,2,Fire/Flame,0,"2,057"
Stock clerks and order fillers,3,Fire/Flame,0,"2,057"
Stock clerks and order fillers,2,Fall,4,"2,057"
Stock clerks and order fillers,3,Fall,4,"2,057"
Stock clerks and order fillers,2,Poisoning,0,"2,057"
Stock clerks and order fillers,3,Poisoning,0,"2,057"
Stock clerks and order fillers,2,Struck by or against,0,"2,057"
Stock clerks and order fillers,3,Struck by or against,0,"2,057"
Secretaries and administrative assistants,1,Total,0,"3,787"
Secretaries and administrative assistants,2,Total,0,"3,787"
Secretaries and administrative assistants,1,Cut/Pierce,0,"3,787"
Secretaries and administrative assistants,2,Cut/Pierce,0,"3,787"
Secretaries and administrative assistants,1,Motor Vehicle Traffic,0,"3,787"
Secretaries and administrative assistants,2,Motor Vehicle Traffic,0,"3,787"
Secretaries and administrative assistants,1,Fire/Flame,0,"3,787"
Secretaries and administrative assistants,2,Fire/Flame,0,"3,787"
Secretaries and administrative assistants,1,Fall,1,"3,787"
Secretaries and administrative assistants,2,Fall,1,"3,787"
Secretaries and administrative assistants,1,Poisoning,0,"3,787"
Secretaries and administrative assistants,2,Poisoning,0,"3,787"
Secretaries and administrative assistants,1,Struck by or against,0,"3,787"
Secretaries and administrative assistants,2,Struck by or against,0,"3,787"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Total,0,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Cut/Pierce,0,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Motor Vehicle Traffic,0,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Fire/Flame,0,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Fall,1,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Poisoning,0,"2,383"
"Secretaries and administrative assistants, except legal, medical, and executive",3,Struck by or against,0,"2,383"
"Farming, fishing, and forestry occupations",0,Total,262,"1,097"
"Farming, fishing, and forestry occupations",0,Cut/Pierce,20,"1,097"
"Farming, fishing, and forestry occupations",0,Motor Vehicle Traffic,100,"1,097"
"Farming, fishing, and forestry occupations",0,Fire/Flame,5,"1,097"
"Farming, fishing, and forestry occupations",0,Fall,17,"1,097"
"Farming, fishing, and forestry occupations",0,Poisoning,28,"1,097"
"Farming, fishing, and forestry occupations",0,Struck by or against,92,"1,097"
"Supervisors of farming, fishing, and forestry workers",1,Total,16,56
"Supervisors of farming, fishing, and forestry workers",1,Cut/Pierce,0,56
"Supervisors of farming, fishing, and forestry workers",1,Motor Vehicle Traffic,6,56
"Supervisors of farming, fishing, and forestry workers",1,Fire/Flame,0,56
"Supervisors of farming, fishing, and forestry workers",1,Fall,0,56
"Supervisors of farming, fishing, and forestry workers",1,Poisoning,0,56
"Supervisors of farming, fishing, and forestry workers",1,Struck by or against,8,56
"First-line supervisors of farming, fishing, and forestry workers",2,Total,16,56
"First-line supervisors of farming, fishing, and forestry workers",3,Total,16,56
"First-line supervisors of farming, fishing, and forestry workers",2,Cut/Pierce,0,56
"First-line supervisors of farming, fishing, and forestry workers",3,Cut/Pierce,0,56
"First-line supervisors of farming, fishing, and forestry workers",2,Motor Vehicle Traffic,6,56
"First-line supervisors of farming, fishing, and forestry workers",3,Motor Vehicle Traffic,6,56
"First-line supervisors of farming, fishing, and forestry workers",2,Fire/Flame,0,56
"First-line supervisors of farming, fishing, and forestry workers",3,Fire/Flame,0,56
"First-line supervisors of farming, fishing, and forestry workers",2,Fall,0,56
"First-line supervisors of farming, fishing, and forestry workers",3,Fall,0,56
"First-line supervisors of farming, fishing, and forestry workers",2,Poisoning,0,56
"First-line supervisors of farming, fishing, and forestry workers",3,Poisoning,0,56
"First-line supervisors of farming, fishing, and forestry workers",2,Struck by or against,8,56
"First-line supervisors of farming, fishing, and forestry workers",3,Struck by or against,8,56
Agricultural workers,1,Total,158,934
Agricultural workers,1,Cut/Pierce,17,934
Agricultural workers,1,Motor Vehicle Traffic,66,934
Agricultural workers,1,Fire/Flame,5,934
Agricultural workers,1,Fall,13,934
Agricultural workers,1,Poisoning,20,934
Agricultural workers,1,Struck by or against,37,934
"Graders and sorters, agricultural products",2,Total,1,40
"Graders and sorters, agricultural products",3,Total,1,40
"Graders and sorters, agricultural products",2,Cut/Pierce,0,40
"Graders and sorters, agricultural products",3,Cut/Pierce,0,40
"Graders and sorters, agricultural products",2,Motor Vehicle Traffic,0,40
"Graders and sorters, agricultural products",3,Motor Vehicle Traffic,0,40
"Graders and sorters, agricultural products",2,Fire/Flame,0,40
"Graders and sorters, agricultural products",3,Fire/Flame,0,40
"Graders and sorters, agricultural products",2,Fall,0,40
"Graders and sorters, agricultural products",3,Fall,0,40
"Graders and sorters, agricultural products",2,Poisoning,0,40
"Graders and sorters, agricultural products",3,Poisoning,0,40
"Graders and sorters, agricultural products",2,Struck by or against,0,40
"Graders and sorters, agricultural products",3,Struck by or against,0,40
Miscellaneous agricultural workers,2,Total,157,867
Miscellaneous agricultural workers,2,Cut/Pierce,17,867
Miscellaneous agricultural workers,2,Motor Vehicle Traffic,66,867
Miscellaneous agricultural workers,2,Fire/Flame,5,867
Miscellaneous agricultural workers,2,Fall,12,867
Miscellaneous agricultural workers,2,Poisoning,20,867
Miscellaneous agricultural workers,2,Struck by or against,37,867
Agricultural equipment operators,3,Total,8,67
Agricultural equipment operators,3,Cut/Pierce,0,67
Agricultural equipment operators,3,Motor Vehicle Traffic,4,67
Agricultural equipment operators,3,Fire/Flame,0,67
Agricultural equipment operators,3,Fall,0,67
Agricultural equipment operators,3,Poisoning,0,67
Agricultural equipment operators,3,Struck by or against,4,67
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Total,78,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Cut/Pierce,4,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Motor Vehicle Traffic,37,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Fire/Flame,0,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Fall,9,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Poisoning,11,532
"Farmworkers and laborers, crop, nursery, and greenhouse",3,Struck by or against,15,532
"Farmworkers, farm, ranch, and aquacultural animals",3,Total,60,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Cut/Pierce,13,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Motor Vehicle Traffic,18,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Fire/Flame,0,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Fall,3,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Poisoning,7,256
"Farmworkers, farm, ranch, and aquacultural animals",3,Struck by or against,16,256
Fishing and hunting workers,1,Total,31,39
Fishing and hunting workers,1,Cut/Pierce,3,39
Fishing and hunting workers,1,Motor Vehicle Traffic,21,39
Fishing and hunting workers,1,Fire/Flame,0,39
Fishing and hunting workers,1,Fall,0,39
Fishing and hunting workers,1,Poisoning,6,39
Fishing and hunting workers,1,Struck by or against,1,39
"Forest, conservation, and logging workers",1,Total,57,68
"Forest, conservation, and logging workers",1,Cut/Pierce,0,68
"Forest, conservation, and logging workers",1,Motor Vehicle Traffic,7,68
"Forest, conservation, and logging workers",1,Fire/Flame,0,68
"Forest, conservation, and logging workers",1,Fall,0,68
"Forest, conservation, and logging workers",1,Poisoning,0,68
"Forest, conservation, and logging workers",1,Struck by or against,46,68
Logging workers,2,Total,56,54
Logging workers,2,Cut/Pierce,0,54
Logging workers,2,Motor Vehicle Traffic,7,54
Logging workers,2,Fire/Flame,0,54
Logging workers,2,Fall,0,54
Logging workers,2,Poisoning,0,54
Logging workers,2,Struck by or against,46,54
Fallers,3,Total,42,7
Fallers,3,Cut/Pierce,0,7
Fallers,3,Motor Vehicle Traffic,3,7
Fallers,3,Fire/Flame,0,7
Fallers,3,Fall,0,7
Fallers,3,Poisoning,0,7
Fallers,3,Struck by or against,36,7
Logging equipment operators,3,Total,7,37
Logging equipment operators,3,Cut/Pierce,0,37
Logging equipment operators,3,Motor Vehicle Traffic,3,37
Logging equipment operators,3,Fire/Flame,0,37
Logging equipment operators,3,Fall,0,37
Logging equipment operators,3,Poisoning,0,37
Logging equipment operators,3,Struck by or against,4,37
Construction and extraction occupations,0,Total,1003,"7,213"
Construction and extraction occupations,0,Cut/Pierce,62,"7,213"
Construction and extraction occupations,0,Motor Vehicle Traffic,228,"7,213"
Construction and extraction occupations,0,Fire/Flame,27,"7,213"
Construction and extraction occupations,0,Fall,339,"7,213"
Construction and extraction occupations,0,Poisoning,157,"7,213"
Construction and extraction occupations,0,Struck by or against,187,"7,213"
Supervisors of construction and extraction workers,1,Total,144,663
Supervisors of construction and extraction workers,1,Cut/Pierce,13,663
Supervisors of construction and extraction workers,1,Motor Vehicle Traffic,40,663
Supervisors of construction and extraction workers,1,Fire/Flame,4,663
Supervisors of construction and extraction workers,1,Fall,39,663
Supervisors of construction and extraction workers,1,Poisoning,19,663
Supervisors of construction and extraction workers,1,Struck by or against,27,663
First-line supervisors of construction trades and extraction workers,2,Total,144,663
First-line supervisors of construction trades and extraction workers,3,Total,144,663
First-line supervisors of construction trades and extraction workers,2,Cut/Pierce,13,663
First-line supervisors of construction trades and extraction workers,3,Cut/Pierce,13,663
First-line supervisors of construction trades and extraction workers,2,Motor Vehicle Traffic,40,663
First-line supervisors of construction trades and extraction workers,3,Motor Vehicle Traffic,40,663
First-line supervisors of construction trades and extraction workers,2,Fire/Flame,4,663
First-line supervisors of construction trades and extraction workers,3,Fire/Flame,4,663
First-line supervisors of construction trades and extraction workers,2,Fall,39,663
First-line supervisors of construction trades and extraction workers,3,Fall,39,663
First-line supervisors of construction trades and extraction workers,2,Poisoning,19,663
First-line supervisors of construction trades and extraction workers,3,Poisoning,19,663
First-line supervisors of construction trades and extraction workers,2,Struck by or against,27,663
First-line supervisors of construction trades and extraction workers,3,Struck by or against,27,663
Construction trades workers,1,Total,731,"5,631"
Construction trades workers,1,Cut/Pierce,41,"5,631"
Construction trades workers,1,Motor Vehicle Traffic,141,"5,631"
Construction trades workers,1,Fire/Flame,14,"5,631"
Construction trades workers,1,Fall,282,"5,631"
Construction trades workers,1,Poisoning,125,"5,631"
Construction trades workers,1,Struck by or against,127,"5,631"
Boilermakers,2,Total,1,15
Boilermakers,3,Total,1,15
Boilermakers,2,Cut/Pierce,0,15
Boilermakers,3,Cut/Pierce,0,15
Boilermakers,2,Motor Vehicle Traffic,0,15
Boilermakers,3,Motor Vehicle Traffic,0,15
Boilermakers,2,Fire/Flame,0,15
Boilermakers,3,Fire/Flame,0,15
Boilermakers,2,Fall,0,15
Boilermakers,3,Fall,0,15
Boilermakers,2,Poisoning,0,15
Boilermakers,3,Poisoning,0,15
Boilermakers,2,Struck by or against,0,15
Boilermakers,3,Struck by or against,0,15
"Brickmasons, blockmasons, and stonemasons",2,Total,21,104
"Brickmasons, blockmasons, and stonemasons",2,Cut/Pierce,0,104
"Brickmasons, blockmasons, and stonemasons",2,Motor Vehicle Traffic,6,104
"Brickmasons, blockmasons, and stonemasons",2,Fire/Flame,0,104
"Brickmasons, blockmasons, and stonemasons",2,Fall,11,104
"Brickmasons, blockmasons, and stonemasons",2,Poisoning,3,104
"Brickmasons, blockmasons, and stonemasons",2,Struck by or against,0,104
Brickmasons and blockmasons,3,Total,19,87
Brickmasons and blockmasons,3,Cut/Pierce,0,87
Brickmasons and blockmasons,3,Motor Vehicle Traffic,4,87
Brickmasons and blockmasons,3,Fire/Flame,0,87
Brickmasons and blockmasons,3,Fall,11,87
Brickmasons and blockmasons,3,Poisoning,3,87
Brickmasons and blockmasons,3,Struck by or against,0,87
Carpenters,2,Total,86,"1,007"
Carpenters,3,Total,86,"1,007"
Carpenters,2,Cut/Pierce,8,"1,007"
Carpenters,3,Cut/Pierce,8,"1,007"
Carpenters,2,Motor Vehicle Traffic,11,"1,007"
Carpenters,3,Motor Vehicle Traffic,11,"1,007"
Carpenters,2,Fire/Flame,0,"1,007"
Carpenters,3,Fire/Flame,0,"1,007"
Carpenters,2,Fall,43,"1,007"
Carpenters,3,Fall,43,"1,007"
Carpenters,2,Poisoning,11,"1,007"
Carpenters,3,Poisoning,11,"1,007"
Carpenters,2,Struck by or against,13,"1,007"
Carpenters,3,Struck by or against,13,"1,007"
"Carpet, floor, and tile installers and finishers",2,Total,7,120
"Carpet, floor, and tile installers and finishers",2,Cut/Pierce,1,120
"Carpet, floor, and tile installers and finishers",2,Motor Vehicle Traffic,4,120
"Carpet, floor, and tile installers and finishers",2,Fire/Flame,0,120
"Carpet, floor, and tile installers and finishers",2,Fall,0,120
"Carpet, floor, and tile installers and finishers",2,Poisoning,1,120
"Carpet, floor, and tile installers and finishers",2,Struck by or against,0,120
"Floor layers, except carpet, wood, and hard tiles",3,Total,0,20
"Floor layers, except carpet, wood, and hard tiles",3,Cut/Pierce,0,20
"Floor layers, except carpet, wood, and hard tiles",3,Motor Vehicle Traffic,0,20
"Floor layers, except carpet, wood, and hard tiles",3,Fire/Flame,0,20
"Floor layers, except carpet, wood, and hard tiles",3,Fall,0,20
"Floor layers, except carpet, wood, and hard tiles",3,Poisoning,1,20
"Floor layers, except carpet, wood, and hard tiles",3,Struck by or against,0,20
Floor sanders and finishers,3,Total,1,6
Floor sanders and finishers,3,Cut/Pierce,0,6
Floor sanders and finishers,3,Motor Vehicle Traffic,1,6
Floor sanders and finishers,3,Fire/Flame,0,6
Floor sanders and finishers,3,Fall,0,6
Floor sanders and finishers,3,Poisoning,0,6
Floor sanders and finishers,3,Struck by or against,0,6
Tile and marble setters,3,Total,2,56
Tile and marble setters,3,Cut/Pierce,1,56
Tile and marble setters,3,Motor Vehicle Traffic,1,56
Tile and marble setters,3,Fire/Flame,0,56
Tile and marble setters,3,Fall,0,56
Tile and marble setters,3,Poisoning,0,56
Tile and marble setters,3,Struck by or against,0,56
"Cement masons, concrete finishers, and terrazzo workers",2,Total,11,194
"Cement masons, concrete finishers, and terrazzo workers",2,Cut/Pierce,0,194
"Cement masons, concrete finishers, and terrazzo workers",2,Motor Vehicle Traffic,0,194
"Cement masons, concrete finishers, and terrazzo workers",2,Fire/Flame,0,194
"Cement masons, concrete finishers, and terrazzo workers",2,Fall,4,194
"Cement masons, concrete finishers, and terrazzo workers",2,Poisoning,3,194
"Cement masons, concrete finishers, and terrazzo workers",2,Struck by or against,0,194
Cement masons and concrete finishers,3,Total,11,191
Cement masons and concrete finishers,3,Cut/Pierce,0,191
Cement masons and concrete finishers,3,Motor Vehicle Traffic,0,191
Cement masons and concrete finishers,3,Fire/Flame,0,191
Cement masons and concrete finishers,3,Fall,4,191
Cement masons and concrete finishers,3,Poisoning,3,191
Cement masons and concrete finishers,3,Struck by or against,0,191
Construction laborers,2,Total,259,"1,405"
Construction laborers,3,Total,259,"1,405"
Construction laborers,2,Cut/Pierce,15,"1,405"
Construction laborers,3,Cut/Pierce,15,"1,405"
Construction laborers,2,Motor Vehicle Traffic,47,"1,405"
Construction laborers,3,Motor Vehicle Traffic,47,"1,405"
Construction laborers,2,Fire/Flame,0,"1,405"
Construction laborers,3,Fire/Flame,0,"1,405"
Construction laborers,2,Fall,83,"1,405"
Construction laborers,3,Fall,83,"1,405"
Construction laborers,2,Poisoning,38,"1,405"
Construction laborers,3,Poisoning,38,"1,405"
Construction laborers,2,Struck by or against,74,"1,405"
Construction laborers,3,Struck by or against,74,"1,405"
Construction equipment operators,2,Total,51,453
Construction equipment operators,2,Cut/Pierce,0,453
Construction equipment operators,2,Motor Vehicle Traffic,32,453
Construction equipment operators,2,Fire/Flame,4,453
Construction equipment operators,2,Fall,3,453
Construction equipment operators,2,Poisoning,0,453
Construction equipment operators,2,Struck by or against,10,453
"Paving, surfacing, and tamping equipment operators",3,Total,11,47
"Paving, surfacing, and tamping equipment operators",3,Cut/Pierce,0,47
"Paving, surfacing, and tamping equipment operators",3,Motor Vehicle Traffic,8,47
"Paving, surfacing, and tamping equipment operators",3,Fire/Flame,0,47
"Paving, surfacing, and tamping equipment operators",3,Fall,0,47
"Paving, surfacing, and tamping equipment operators",3,Poisoning,0,47
"Paving, surfacing, and tamping equipment operators",3,Struck by or against,0,47
Pile-driver operators,3,Total,1,4
Pile-driver operators,3,Cut/Pierce,0,4
Pile-driver operators,3,Motor Vehicle Traffic,0,4
Pile-driver operators,3,Fire/Flame,0,4
Pile-driver operators,3,Fall,0,4
Pile-driver operators,3,Poisoning,0,4
Pile-driver operators,3,Struck by or against,0,4
Operating engineers and other construction equipment operators,3,Total,39,402
Operating engineers and other construction equipment operators,3,Cut/Pierce,0,402
Operating engineers and other construction equipment operators,3,Motor Vehicle Traffic,24,402
Operating engineers and other construction equipment operators,3,Fire/Flame,3,402
Operating engineers and other construction equipment operators,3,Fall,0,402
Operating engineers and other construction equipment operators,3,Poisoning,0,402
Operating engineers and other construction equipment operators,3,Struck by or against,9,402
"Drywall installers, ceiling tile installers, and tapers",2,Total,13,144
"Drywall installers, ceiling tile installers, and tapers",2,Cut/Pierce,0,144
"Drywall installers, ceiling tile installers, and tapers",2,Motor Vehicle Traffic,0,144
"Drywall installers, ceiling tile installers, and tapers",2,Fire/Flame,0,144
"Drywall installers, ceiling tile installers, and tapers",2,Fall,6,144
"Drywall installers, ceiling tile installers, and tapers",2,Poisoning,0,144
"Drywall installers, ceiling tile installers, and tapers",2,Struck by or against,3,144
Drywall and ceiling tile installers,3,Total,12,122
Drywall and ceiling tile installers,3,Cut/Pierce,0,122
Drywall and ceiling tile installers,3,Motor Vehicle Traffic,0,122
Drywall and ceiling tile installers,3,Fire/Flame,0,122
Drywall and ceiling tile installers,3,Fall,5,122
Drywall and ceiling tile installers,3,Poisoning,0,122
Drywall and ceiling tile installers,3,Struck by or against,3,122
Electricians,2,Total,80,715
Electricians,3,Total,80,715
Electricians,2,Cut/Pierce,3,715
Electricians,3,Cut/Pierce,3,715
Electricians,2,Motor Vehicle Traffic,20,715
Electricians,3,Motor Vehicle Traffic,20,715
Electricians,2,Fire/Flame,0,715
Electricians,3,Fire/Flame,0,715
Electricians,2,Fall,14,715
Electricians,3,Fall,14,715
Electricians,2,Poisoning,33,715
Electricians,3,Poisoning,33,715
Electricians,2,Struck by or against,7,715
Electricians,3,Struck by or against,7,715
Insulation workers,2,Total,10,59
Insulation workers,2,Cut/Pierce,0,59
Insulation workers,2,Motor Vehicle Traffic,0,59
Insulation workers,2,Fire/Flame,0,59
Insulation workers,2,Fall,6,59
Insulation workers,2,Poisoning,3,59
Insulation workers,2,Struck by or against,0,59
"Insulation workers, floor, ceiling, and wall",3,Total,8,33
"Insulation workers, floor, ceiling, and wall",3,Cut/Pierce,0,33
"Insulation workers, floor, ceiling, and wall",3,Motor Vehicle Traffic,0,33
"Insulation workers, floor, ceiling, and wall",3,Fire/Flame,0,33
"Insulation workers, floor, ceiling, and wall",3,Fall,4,33
"Insulation workers, floor, ceiling, and wall",3,Poisoning,3,33
"Insulation workers, floor, ceiling, and wall",3,Struck by or against,0,33
Painters and paperhangers,2,Total,31,380
Painters and paperhangers,2,Cut/Pierce,3,380
Painters and paperhangers,2,Motor Vehicle Traffic,0,380
Painters and paperhangers,2,Fire/Flame,0,380
Painters and paperhangers,2,Fall,18,380
Painters and paperhangers,2,Poisoning,4,380
Painters and paperhangers,2,Struck by or against,3,380
"Painters, construction and maintenance",3,Total,29,376
"Painters, construction and maintenance",3,Cut/Pierce,3,376
"Painters, construction and maintenance",3,Motor Vehicle Traffic,0,376
"Painters, construction and maintenance",3,Fire/Flame,0,376
"Painters, construction and maintenance",3,Fall,16,376
"Painters, construction and maintenance",3,Poisoning,4,376
"Painters, construction and maintenance",3,Struck by or against,3,376
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Total,37,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Cut/Pierce,5,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Motor Vehicle Traffic,9,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Fire/Flame,3,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Fall,6,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Poisoning,6,543
"Pipelayers, plumbers, pipefitters, and steamfitters",2,Struck by or against,8,543
Pipelayers,3,Total,7,43
Pipelayers,3,Cut/Pierce,0,43
Pipelayers,3,Motor Vehicle Traffic,0,43
Pipelayers,3,Fire/Flame,0,43
Pipelayers,3,Fall,0,43
Pipelayers,3,Poisoning,0,43
Pipelayers,3,Struck by or against,3,43
"Plumbers, pipefitters, and steamfitters",3,Total,30,500
"Plumbers, pipefitters, and steamfitters",3,Cut/Pierce,5,500
"Plumbers, pipefitters, and steamfitters",3,Motor Vehicle Traffic,9,500
"Plumbers, pipefitters, and steamfitters",3,Fire/Flame,0,500
"Plumbers, pipefitters, and steamfitters",3,Fall,5,500
"Plumbers, pipefitters, and steamfitters",3,Poisoning,4,500
"Plumbers, pipefitters, and steamfitters",3,Struck by or against,5,500
Reinforcing iron and rebar workers,2,Total,1,19
Reinforcing iron and rebar workers,3,Total,1,19
Reinforcing iron and rebar workers,2,Cut/Pierce,0,19
Reinforcing iron and rebar workers,3,Cut/Pierce,0,19
Reinforcing iron and rebar workers,2,Motor Vehicle Traffic,0,19
Reinforcing iron and rebar workers,3,Motor Vehicle Traffic,0,19
Reinforcing iron and rebar workers,2,Fire/Flame,0,19
Reinforcing iron and rebar workers,3,Fire/Flame,0,19
Reinforcing iron and rebar workers,2,Fall,1,19
Reinforcing iron and rebar workers,3,Fall,1,19
Reinforcing iron and rebar workers,2,Poisoning,0,19
Reinforcing iron and rebar workers,3,Poisoning,0,19
Reinforcing iron and rebar workers,2,Struck by or against,0,19
Reinforcing iron and rebar workers,3,Struck by or against,0,19
Roofers,2,Total,96,161
Roofers,3,Total,96,161
Roofers,2,Cut/Pierce,1,161
Roofers,3,Cut/Pierce,1,161
Roofers,2,Motor Vehicle Traffic,4,161
Roofers,3,Motor Vehicle Traffic,4,161
Roofers,2,Fire/Flame,1,161
Roofers,3,Fire/Flame,1,161
Roofers,2,Fall,74,161
Roofers,3,Fall,74,161
Roofers,2,Poisoning,16,161
Roofers,3,Poisoning,16,161
Roofers,2,Struck by or against,0,161
Roofers,3,Struck by or against,0,161
Sheet metal workers,2,Total,5,143
Sheet metal workers,3,Total,5,143
Sheet metal workers,2,Cut/Pierce,0,143
Sheet metal workers,3,Cut/Pierce,0,143
Sheet metal workers,2,Motor Vehicle Traffic,0,143
Sheet metal workers,3,Motor Vehicle Traffic,0,143
Sheet metal workers,2,Fire/Flame,0,143
Sheet metal workers,3,Fire/Flame,0,143
Sheet metal workers,2,Fall,3,143
Sheet metal workers,3,Fall,3,143
Sheet metal workers,2,Poisoning,0,143
Sheet metal workers,3,Poisoning,0,143
Sheet metal workers,2,Struck by or against,1,143
Sheet metal workers,3,Struck by or against,1,143
Structural iron and steel workers,2,Total,15,80
Structural iron and steel workers,3,Total,15,80
Structural iron and steel workers,2,Cut/Pierce,0,80
Structural iron and steel workers,3,Cut/Pierce,0,80
Structural iron and steel workers,2,Motor Vehicle Traffic,0,80
Structural iron and steel workers,3,Motor Vehicle Traffic,0,80
Structural iron and steel workers,2,Fire/Flame,0,80
Structural iron and steel workers,3,Fire/Flame,0,80
Structural iron and steel workers,2,Fall,7,80
Structural iron and steel workers,3,Fall,7,80
Structural iron and steel workers,2,Poisoning,3,80
Structural iron and steel workers,3,Poisoning,3,80
Structural iron and steel workers,2,Struck by or against,4,80
Structural iron and steel workers,3,Struck by or against,4,80
Solar photovoltaic installers,2,Total,4,10
Solar photovoltaic installers,3,Total,4,10
Solar photovoltaic installers,2,Cut/Pierce,0,10
Solar photovoltaic installers,3,Cut/Pierce,0,10
Solar photovoltaic installers,2,Motor Vehicle Traffic,0,10
Solar photovoltaic installers,3,Motor Vehicle Traffic,0,10
Solar photovoltaic installers,2,Fire/Flame,0,10
Solar photovoltaic installers,3,Fire/Flame,0,10
Solar photovoltaic installers,2,Fall,0,10
Solar photovoltaic installers,3,Fall,0,10
Solar photovoltaic installers,2,Poisoning,0,10
Solar photovoltaic installers,3,Poisoning,0,10
Solar photovoltaic installers,2,Struck by or against,0,10
Solar photovoltaic installers,3,Struck by or against,0,10
"Helpers, construction trades",1,Total,11,241
"Helpers, construction trades",2,Total,11,241
"Helpers, construction trades",1,Cut/Pierce,0,241
"Helpers, construction trades",2,Cut/Pierce,0,241
"Helpers, construction trades",1,Motor Vehicle Traffic,0,241
"Helpers, construction trades",2,Motor Vehicle Traffic,0,241
"Helpers, construction trades",1,Fire/Flame,0,241
"Helpers, construction trades",2,Fire/Flame,0,241
"Helpers, construction trades",1,Fall,6,241
"Helpers, construction trades",2,Fall,6,241
"Helpers, construction trades",1,Poisoning,0,241
"Helpers, construction trades",2,Poisoning,0,241
"Helpers, construction trades",1,Struck by or against,0,241
"Helpers, construction trades",2,Struck by or against,0,241
Helpers--roofers,3,Total,3,9
Helpers--roofers,3,Cut/Pierce,0,9
Helpers--roofers,3,Motor Vehicle Traffic,0,9
Helpers--roofers,3,Fire/Flame,0,9
Helpers--roofers,3,Fall,0,9
Helpers--roofers,3,Poisoning,0,9
Helpers--roofers,3,Struck by or against,0,9
Other construction and related workers,1,Total,53,456
Other construction and related workers,1,Cut/Pierce,3,456
Other construction and related workers,1,Motor Vehicle Traffic,27,456
Other construction and related workers,1,Fire/Flame,2,456
Other construction and related workers,1,Fall,8,456
Other construction and related workers,1,Poisoning,6,456
Other construction and related workers,1,Struck by or against,7,456
Construction and building inspectors,2,Total,10,117
Construction and building inspectors,3,Total,10,117
Construction and building inspectors,2,Cut/Pierce,1,117
Construction and building inspectors,3,Cut/Pierce,1,117
Construction and building inspectors,2,Motor Vehicle Traffic,6,117
Construction and building inspectors,3,Motor Vehicle Traffic,6,117
Construction and building inspectors,2,Fire/Flame,0,117
Construction and building inspectors,3,Fire/Flame,0,117
Construction and building inspectors,2,Fall,0,117
Construction and building inspectors,3,Fall,0,117
Construction and building inspectors,2,Poisoning,0,117
Construction and building inspectors,3,Poisoning,0,117
Construction and building inspectors,2,Struck by or against,0,117
Construction and building inspectors,3,Struck by or against,0,117
Elevator installers and repairers,2,Total,8,27
Elevator installers and repairers,3,Total,8,27
Elevator installers and repairers,2,Cut/Pierce,0,27
Elevator installers and repairers,3,Cut/Pierce,0,27
Elevator installers and repairers,2,Motor Vehicle Traffic,0,27
Elevator installers and repairers,3,Motor Vehicle Traffic,0,27
Elevator installers and repairers,2,Fire/Flame,0,27
Elevator installers and repairers,3,Fire/Flame,0,27
Elevator installers and repairers,2,Fall,0,27
